SMILES,Set,Actual,Predicted,ALogPS_logS,Mi:(Dragon7),nBM:(Dragon7),PCR:(Dragon7),VE2_Dz(Z):(Dragon7),VR2_Dz(Z):(Dragon7),SpDiam_B(m):(Dragon7),EE_B(m):(Dragon7),AVS_B(v):(Dragon7),SpPosA_B(v):(Dragon7),SpMax_B(v):(Dragon7),SpPosA_B(p):(Dragon7),SpMax_B(p):(Dragon7),EE_B(s):(Dragon7),GATS1i:(Dragon7),SpMax1_Bh(v):(Dragon7),SpMax4_Bh(s):(Dragon7),SpMin1_Bh(e):(Dragon7),SpMax_EA(bo):(Dragon7),TDB01v:(Dragon7),TDB03v:(Dragon7),Uc:(Dragon7),MLOGP:(Dragon7),ALOGP:(Dragon7),ALOGP2:(Dragon7),Residual,Standardized_Residual,Prediction_Quality
NCCOCCOCCN,Validation,8.0,9.1787010828176,0.12,1.166,0,1.0,0.287,0.865,3.885,4.204,2.742,1.129,2.852,1.088,2.786,5.855,1.951,3.452,4.342,1.596,1.902,0.608,0.733,0.0,-0.937,-1.738,3.022,-1.1787010828176,-0.06925054985186618,Good
CC1(C)CC2=C(O1)C(O)=CC=C2,Validation,62.4,47.64744302869477,-1.72,1.121,6,1.231,0.264,1.051,5.47,4.684,3.403,1.289,3.755,1.258,3.737,6.683,1.105,3.917,3.77,1.871,4.059,0.836,1.392,2.807,1.808,2.203,4.855,14.752556971305232,0.8667360171942435,Good
CC1=CC=C(C)C(O)=C1C,Validation,97.5,66.23064926319286,-1.81,1.123,6,1.275,0.282,0.967,5.541,4.492,3.328,1.29,3.765,1.269,3.759,6.579,1.077,3.899,3.795,1.945,4.107,0.789,1.586,2.807,2.51,3.021,9.128,31.26935073680714,1.8371237318782057,Good
CCOC(=O)COC1=C(Cl)C=C(Cl)C=C1,Validation,90.0,78.45501123352695,-4.06,1.12,7,1.242,0.239,0.972,5.626,5.199,3.255,1.268,3.696,1.251,3.699,7.689,1.355,3.842,4.501,1.86,3.879,0.924,1.579,3.0,2.927,3.412,11.64,11.544988766473054,0.678286320226955,Good
CCC(C)(C)C1=CC(=C(O)C=C1)C(C)(C)CC,Validation,101.6,63.270639302414764,-4.61,1.13,6,1.217,0.213,0.978,5.571,4.927,3.238,1.256,3.784,1.245,3.78,6.697,1.264,3.954,4.137,1.995,4.113,0.754,1.38,2.807,4.427,5.276,27.83,38.32936069758523,2.2519104652328843,Bad
CC1=CC(C)=C(O)C=C1,Validation,66.9,64.0395914598841,-1.34,1.12,6,1.284,0.296,0.965,5.393,4.389,3.341,1.295,3.69,1.272,3.684,6.559,1.023,3.869,3.726,1.923,3.857,0.801,1.439,2.807,2.193,2.535,6.426,2.8604085401159125,0.16805351848026912,Good
CC(C)CC(C)(O)C#CC(C)(O)CC(C)C,Validation,15.3,43.62194044574568,-4.01,1.138,1,1.134,0.224,0.914,5.2,4.813,3.044,1.243,3.587,1.219,3.575,7.175,1.393,3.77,4.211,1.842,3.634,0.707,1.08,1.0,2.977,3.321,11.03,-28.32194044574568,-1.6639587231491515,Good
CC(C)C1=CC2=C(C=C1)C=C(C=C2)C(C)C,Validation,36.5,63.095975210267454,-6.45,1.115,11,1.393,0.215,1.038,5.774,4.963,3.497,1.319,3.892,1.319,3.892,5.773,1.064,4.066,3.992,2.096,4.384,0.822,1.426,3.585,4.999,5.127,26.28,-26.595975210267454,-1.5625555401671192,Good
CC1=CC=CC(C)=C1O,Validation,89.3,62.45128566175665,-1.29,1.12,6,1.286,0.263,0.972,5.425,4.39,3.341,1.293,3.705,1.271,3.698,6.559,1.023,3.87,3.744,1.922,3.96,0.802,1.471,2.807,2.193,2.535,6.426,26.848714338243347,1.5774043630252215,Good
OC(=O)C1=CC=CC(=N1)C(O)=O,Validation,12.2,41.311142877901176,-1.68,1.127,8,1.302,0.246,0.972,5.461,4.785,3.323,1.247,3.678,1.179,3.647,8.45,1.118,3.805,6.35,1.846,3.869,0.92,1.673,3.17,-0.129,0.745,0.555,-29.111142877901177,-1.7103256122340034,Good
CN(C)CCCN(C)CCCN(C)C,Validation,24.3,18.520413244309076,-0.91,1.158,0,1.0,0.232,0.901,4.252,4.553,2.888,1.197,3.052,1.183,3.014,5.308,2.443,3.621,3.729,1.76,2.414,0.603,0.965,0.0,1.469,0.722,0.522,5.779586755690925,0.3395598481944346,Good
CC(C)CC(C)CC(O)CC(C)C,Validation,24.1,40.05792917230418,-3.58,1.144,0,1.0,0.25,0.895,4.435,4.47,2.927,1.226,3.209,1.212,3.202,6.505,1.565,3.736,3.991,1.854,2.627,0.671,0.915,0.0,3.467,3.996,15.97,-15.957929172304176,-0.9375535373544827,Good
Cl.NCC1(CC2=NOC(=O)N2)CCCCC1,Validation,-0.6,10.153934226888666,-2.14,1.151,2,1.076,0.24,1.036,5.025,4.812,3.196,1.206,3.457,1.162,3.42,7.623,1.427,3.83,4.232,1.927,3.457,0.767,1.111,1.585,1.642,1.055,1.113,-10.753934226888665,-0.6318106169060724,Good
CSCCC=O,Validation,6.0,13.468743050998178,-0.9,1.128,1,1.066,0.381,0.787,4.478,4.193,2.858,1.236,2.967,1.264,3.057,7.468,1.208,3.482,2.787,1.6,1.902,0.813,1.002,1.0,0.655,0.547,0.299,-7.468743050998178,-0.4388004478180034,Good
OC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,Validation,108.8,61.303789457193986,-3.53,1.188,8,1.287,0.235,0.975,5.693,5.004,3.254,1.21,3.781,1.107,3.751,9.628,0.852,3.889,7.815,1.915,4.225,0.954,1.835,3.17,2.463,2.399,5.757,47.49621054280601,2.7904773686190825,Bad
CC1(C)N(Cl)C(=O)N(Br)C1=O,Validation,14.9,26.891880491470793,-1.69,1.144,2,1.063,0.252,0.971,8.252,6.991,3.206,1.244,3.636,1.249,3.601,8.185,1.901,3.715,4.07,1.667,3.859,0.927,1.953,1.585,0.158,0.923,0.852,-11.991880491470793,-0.7045419147381304,Good
OCCCBr,Validation,24.2,15.440499772161935,-0.48,1.143,0,1.0,0.411,0.752,7.51,6.89,2.683,1.184,2.808,1.229,2.895,6.36,1.469,3.451,2.353,1.594,1.618,0.774,0.753,0.0,1.009,0.514,0.264,8.759500227838064,0.5146344701366515,Good
CCCCNC(=O)OCC#CI,Validation,30.1,49.89827961693597,-3.39,1.13,2,1.121,0.254,0.886,11.89,10.7,3.064,1.264,3.362,1.343,3.814,7.577,1.372,3.553,4.135,1.702,2.854,0.83,1.104,1.585,1.737,2.268,5.142,-19.79827961693597,-1.1631801901092973,Good
CCCCCC(=O)CC,Validation,14.8,17.738105358400393,-1.94,1.141,1,1.042,0.305,0.852,4.487,4.156,2.911,1.199,3.191,1.179,3.156,7.474,1.562,3.647,3.736,1.778,2.81,0.676,0.807,1.0,2.129,2.458,6.044,-2.938105358400392,-0.17261832924219608,Good
OCC1=CC=CC(OC2=CC=CC=C2)=C1,Validation,93.7,89.458608256755,-3.6,1.108,12,1.392,0.239,1.037,5.341,4.917,3.48,1.292,3.655,1.269,3.641,6.783,0.965,3.879,4.173,1.921,3.706,0.881,1.417,3.7,2.786,2.786,7.76,4.2413917432450035,0.24918846231545683,Good
NC1=CC(Cl)=C(Cl)C=C1,Validation,91.0,75.62480063504285,-2.16,1.117,6,1.284,0.299,0.961,5.667,4.873,3.366,1.316,3.699,1.332,3.707,6.026,0.816,3.843,4.001,1.869,3.857,1.043,1.882,2.807,2.729,2.412,5.819,15.375199364957155,0.9033172410091963,Good
[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1,Validation,60.9,82.38665545531424,-3.62,1.117,8,1.313,0.265,0.967,5.76,5.1,3.419,1.315,3.746,1.296,3.738,8.27,0.81,3.874,4.49,1.895,4.051,1.115,2.126,3.17,3.11,3.053,9.322,-21.486655455314242,-1.2623749366559023,Good
CC1=C(C)C=C(O)C=C1,Validation,47.6,61.8419908088546,-1.35,1.12,6,1.284,0.295,0.965,5.393,4.389,3.341,1.295,3.692,1.272,3.687,6.56,1.023,3.872,3.751,1.925,3.857,0.801,1.461,2.807,2.193,2.535,6.426,-14.241990808854595,-0.8367394489371367,Good
CC(C)CC(C)(O)C#C,Validation,12.2,32.08259893610829,-2.76,1.135,1,1.078,0.312,0.854,4.927,4.273,3.026,1.267,3.447,1.246,3.436,6.702,1.342,3.69,3.769,1.797,3.358,0.7,1.051,1.0,2.129,2.648,7.014,-19.88259893610829,-1.168134083255692,Good
CC1=CC(O)=CC(C)=C1,Validation,66.2,61.76935687585322,-1.33,1.12,6,1.283,0.263,0.972,5.376,4.388,3.341,1.305,3.683,1.284,3.678,6.56,1.023,3.869,3.575,1.923,3.791,0.801,1.41,2.807,2.193,2.535,6.426,4.430643124146783,0.2603072797821761,Good
CCC(C)(C)C1CCC(O)CC1,Validation,39.7,30.931953165351192,-3.16,1.14,0,1.0,0.262,0.968,4.792,4.434,3.052,1.199,3.397,1.184,3.395,6.484,1.435,3.835,3.789,1.938,3.368,0.718,1.049,0.0,2.794,3.122,9.75,8.76804683464881,0.5151365967823631,Good
CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1,Validation,87.5,23.76634562804681,-7.56,1.108,24,1.523,0.165,1.08,5.575,5.641,3.587,1.318,3.794,1.315,3.792,6.52,0.998,4.001,4.626,2.02,4.039,0.878,1.606,4.644,6.993,8.245,67.99,63.73365437195319,3.744452833432699,Bad
CCCCCCOC1=CC=C(O)C=C1,Validation,101.5,62.0944127680056,-3.23,1.13,6,1.223,0.242,0.971,5.245,4.713,3.191,1.242,3.604,1.215,3.591,6.694,1.293,3.818,4.122,1.867,3.614,0.757,1.009,2.807,2.773,3.787,14.34,39.4055872319944,2.3151404735525904,Bad
C[C@]12CCC3C(CCC4=CC(=O)CC[C@]34C)C1CCC2=O,Validation,21.5,21.663870341571872,-4.03,1.124,3,1.072,0.196,1.12,5.416,5.176,3.433,1.278,3.718,1.262,3.713,8.187,1.138,4.026,4.228,2.05,3.869,0.859,1.398,2.0,3.599,3.294,10.85,-0.1638703415718723,-0.009627641327976418,Good
CCCCC1=CC=C(N)C=C1,Validation,67.7,33.447056169358696,-2.62,1.131,6,1.254,0.273,0.966,5.24,4.492,3.268,1.271,3.616,1.262,3.612,5.599,1.11,3.867,3.674,1.929,3.614,0.761,1.087,2.807,2.813,2.938,8.633,34.25294383064131,2.0124145374048683,Bad
CCCCC1CCC(O)CC1,Validation,52.7,40.990774289309265,-3.07,1.141,0,1.0,0.265,0.967,4.454,4.305,3.018,1.197,3.218,1.18,3.211,6.449,1.429,3.786,3.584,1.904,2.618,0.715,0.862,0.0,2.502,3.121,9.739,11.709225710690738,0.6879355000392593,Good
CCCCC1=CC=C(O)C=C1,Validation,95.7,68.95970731286914,-2.65,1.125,6,1.254,0.273,0.966,5.242,4.503,3.264,1.268,3.614,1.25,3.608,6.582,1.12,3.86,3.674,1.92,3.614,0.779,1.089,2.807,2.813,3.417,11.68,26.74029268713086,1.5710344198183832,Good
CC1=C(O)C=CC(Cl)=C1,Validation,90.3,70.55541970324224,-1.52,1.113,6,1.284,0.3,0.963,5.558,4.664,3.351,1.303,3.693,1.295,3.692,6.666,0.937,3.853,3.842,1.891,3.857,0.922,1.621,2.807,2.461,2.713,7.361,19.74458029675776,1.1600252702545337,Good
CC1=CC(O)=CC(C)=C1Cl,Validation,94.5,75.72279654195738,-2.26,1.117,6,1.273,0.288,0.964,5.683,4.743,3.337,1.303,3.76,1.296,3.762,6.684,1.01,3.884,3.966,1.917,4.049,0.888,1.765,2.807,2.778,3.199,10.24,18.77720345804262,1.1031903534367384,Good
CCCCCC1=CC=C(Cl)C=C1,Validation,4.4,39.660046114035026,-5.18,1.121,6,1.242,0.262,0.967,5.451,4.789,3.275,1.283,3.626,1.294,3.631,5.668,1.174,3.871,3.72,1.924,3.614,0.826,1.134,2.807,4.403,4.805,23.09,-35.26004611403503,-2.0715833868262763,Bad
CCCCC(CC)C(O)C#C,Validation,70.7,57.336837993922174,-3.47,1.136,1,1.062,0.268,0.878,4.733,4.399,3.006,1.234,3.354,1.221,3.344,6.713,1.374,3.713,4.031,1.827,2.884,0.702,0.977,1.0,2.749,3.88,15.05,13.363162006077829,0.7851068690531272,Good
CCC1=CC=C(O)C=C1,Validation,46.8,62.55982464725149,-1.3,1.12,6,1.281,0.278,0.966,5.241,4.356,3.318,1.265,3.614,1.242,3.608,6.553,1.023,3.852,3.674,1.911,3.612,0.801,1.215,2.807,2.193,2.505,6.275,-15.759824647251492,-0.9259145836892775,Good
CCCCCCCC1=CC=C(O)C=C1,Validation,101.5,80.89154240134238,-4.23,1.128,6,1.223,0.245,0.97,5.242,4.691,3.212,1.257,3.615,1.242,3.609,6.623,1.209,3.863,3.944,1.923,3.614,0.759,1.012,2.807,4.57,4.786,22.91,20.608457598657623,1.2107794258527513,Good
CCCCCCC1=CC=C(N)C=C1,Validation,97.7,56.54894898770886,-4.34,1.132,6,1.232,0.254,0.969,5.24,4.622,3.23,1.262,3.616,1.254,3.612,5.672,1.174,3.87,3.857,1.932,3.614,0.751,1.026,2.807,3.386,3.851,14.83,41.15105101229114,2.4176892268320263,Bad
CCCCCCC1=C(O)C=C(O)C=C1,Validation,76.8,73.23818023589268,-2.63,1.13,6,1.232,0.245,0.971,5.394,4.73,3.206,1.25,3.684,1.222,3.672,7.153,1.163,3.866,4.177,1.915,3.879,0.77,1.088,2.807,2.773,4.062,16.5,3.5618197641073124,0.20926253545814816,Good
CC1=CC(=C(O)C=C1)C(C)(C)C,Validation,83.9,61.35522339052338,-2.77,1.126,6,1.251,0.256,0.971,5.507,4.638,3.293,1.282,3.749,1.266,3.744,6.618,1.155,3.913,3.733,1.96,4.04,0.774,1.414,2.807,3.105,3.449,11.9,22.544776609476628,1.3245412252966802,Good
NC1=CC=C(C=C1)[N+]([O-])=O,Validation,81.3,68.58130277892026,-1.74,1.14,8,1.327,0.27,0.966,5.508,4.655,3.397,1.28,3.676,1.224,3.648,8.243,0.863,3.858,4.445,1.909,3.947,0.848,1.446,3.17,1.348,0.978,0.956,12.718697221079736,0.7472435452877846,Good
CCCC1=CC=C(OC)C=C1,Validation,7.9,32.48788213537513,-3.35,1.125,6,1.255,0.258,0.969,5.244,4.508,3.264,1.262,3.614,1.248,3.607,5.554,1.281,3.862,3.674,1.919,3.634,0.762,1.225,2.807,2.813,3.212,10.32,-24.587882135375132,-1.4445769011235363,Good
CCCC1=CC=C(O)C=C1,Validation,80.6,62.754189026150954,-1.92,1.123,6,1.266,0.275,0.967,5.242,4.432,3.288,1.273,3.614,1.254,3.608,6.567,1.077,3.857,3.674,1.917,3.614,0.789,1.136,2.807,2.51,2.961,8.769,17.84581097384904,1.0484695742684358,Good
CC(C)(C)C1CCC(O)CC1,Validation,31.3,23.124371777861693,-2.66,1.141,0,1.0,0.27,0.967,4.778,4.361,3.055,1.208,3.389,1.193,3.387,6.469,1.429,3.823,3.474,1.929,3.313,0.717,1.027,0.0,2.502,2.666,7.109,8.175628222138307,0.4803310678345455,Good
CC1=CC=C(S)C=C1,Validation,40.8,12.185868213346422,-2.53,1.099,6,1.297,0.31,0.96,5.368,4.485,3.416,1.34,3.628,1.392,3.65,5.289,0.939,3.848,3.574,1.902,3.589,0.905,1.48,2.807,2.876,2.676,7.162,28.614131786653573,1.6811254258143062,Good
N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N,Validation,10.1,45.68937077985337,-3.55,1.113,19,1.392,0.174,1.071,5.591,5.416,3.644,1.354,3.777,1.338,3.767,7.757,1.029,3.969,4.718,1.991,3.937,0.96,1.805,4.322,3.104,2.749,7.559,-35.58937077985337,-2.090931730965561,Bad
CC(C)(C)C1=CC(CC2=CC(=C(O)C(=C2)C(C)(C)C)C(C)(C)C)=CC(=C1O)C(C)(C)C,Validation,32.6,32.180011032255095,-7.1,1.127,12,1.318,0.173,1.017,5.752,5.577,3.338,1.283,3.881,1.271,3.876,7.372,1.204,4.025,4.551,2.039,4.278,0.782,1.505,3.7,6.37,8.871,78.7,0.41998896774490646,0.024675015041581313,Good
OC1=C(CC=C)C=C(C=C1)S(=O)(=O)C1=CC(CC=C)=C(O)C=C1,Validation,98.1,93.05257545413724,-4.33,1.11,16,1.369,0.178,1.025,6.467,5.67,3.496,1.316,3.972,1.295,4.083,8.487,0.981,4.072,6.466,2.039,4.874,0.934,1.74,4.087,3.433,4.414,19.48,5.047424545862754,0.29654416224108215,Good
CCCCCCCCN1SC(Cl)=C(Cl)C1=O,Validation,45.9,72.20672689280606,-4.8,1.129,2,1.084,0.23,0.973,5.561,5.29,3.157,1.259,3.659,1.286,3.704,7.623,1.506,3.721,4.226,1.796,3.803,0.875,1.205,1.585,4.336,4.543,20.64,-26.30672689280606,-1.5455617447766485,Good
S=C1NCCN1,Validation,-7.3,11.407233294751304,-1.16,1.146,1,1.062,0.362,0.95,4.71,4.287,3.125,1.264,3.269,1.3,3.354,5.213,1.354,3.574,2.782,1.471,2.861,0.785,0.894,1.0,-0.665,0.087,0.008,-18.707233294751305,-1.0990794958564893,Good
OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O,Validation,103.9,76.55866778813342,-4.63,1.117,15,1.378,0.203,1.025,5.734,5.57,3.477,1.301,3.78,1.271,3.766,8.748,0.913,3.909,6.468,1.926,4.074,1.028,1.933,4.0,3.574,3.57,12.75,27.341332211866586,1.6063464409723454,Good
C\C=C1\CC2CC1C=C2,Validation,39.1,30.16551100014107,-2.43,1.119,2,1.131,0.294,1.073,4.986,4.311,3.434,1.324,3.594,1.324,3.594,5.032,1.061,3.947,3.11,1.804,3.42,0.832,1.009,1.585,2.964,2.426,5.887,8.934488999858932,0.5249153368101431,Good
CCCCCCCC1CCC(=O)O1,Validation,42.4,41.53246219646143,-3.58,1.139,1,1.031,0.253,0.968,4.532,4.558,3.061,1.223,3.303,1.194,3.251,7.53,1.522,3.723,3.924,1.8,2.968,0.729,0.847,1.0,3.492,3.459,11.96,0.8675378035385677,0.05096921584963272,Good
CC(C)CCC(C)=O,Validation,-0.4,4.5002122795394355,-1.57,1.142,1,1.048,0.331,0.835,4.489,4.086,2.923,1.235,3.195,1.212,3.165,7.474,1.571,3.648,3.471,1.783,2.724,0.673,0.876,1.0,1.795,1.587,2.519,-4.900212279539436,-0.2878952091380106,Good
CCCC1=CC(=O)NC(=S)N1,Validation,2.5,13.474830481705945,-2.56,1.133,3,1.139,0.259,0.97,5.374,4.787,3.236,1.277,3.518,1.278,3.526,7.566,1.268,3.72,3.94,1.79,3.419,0.814,1.263,2.0,0.831,1.381,1.907,-10.974830481705945,-0.6447886206843907,Good
COP(=O)(NC(C)=O)SC,Validation,7.2,12.59266215935936,-0.99,1.142,2,1.073,0.295,0.868,5.687,5.085,3.001,1.207,3.512,1.244,3.941,8.147,1.694,3.618,3.916,1.621,3.856,0.884,1.715,1.585,-0.759,-0.283,0.08,-5.39266215935936,-0.316827417183918,Good
CC(N)=O,Validation,23.6,9.703455194333023,0.8,1.171,1,1.101,0.409,0.729,4.355,3.534,2.727,1.187,3.077,1.113,3.009,7.496,1.676,3.326,1.17,1.469,2.562,0.596,0.62,1.0,-0.792,-0.832,0.692,13.896544805666979,0.8164439507708948,Good
CN(CC1=CN=C(Cl)C=C1)C(\C)=N\C#N,Validation,16.8,23.585874173208033,-3.09,1.138,8,1.308,0.241,0.972,5.465,5.097,3.339,1.298,3.605,1.288,3.593,7.201,1.673,3.805,4.325,1.856,3.625,0.848,1.61,3.17,1.636,1.604,2.572,-6.7858741732080325,-0.39868082295887175,Good
CC(O)=O,Validation,3.6,10.088701437169117,0.73,1.156,1,1.101,0.436,0.715,4.359,3.564,2.716,1.178,3.072,1.076,2.991,7.727,1.669,3.285,1.154,1.417,2.562,0.636,0.59,1.0,-0.386,-0.23,0.053,-6.488701437169118,-0.38122145546386205,Good
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,Validation,6.0,29.858225712509356,-4.75,1.141,4,1.041,0.134,0.95,5.162,5.412,3.048,1.202,3.513,1.159,3.46,8.883,1.7,3.716,7.426,1.759,3.705,0.73,1.086,2.322,2.665,3.723,13.86,-23.858225712509356,-1.4017084341110053,Good
CNC(=O)O\N=C\C(C)(C)SC,Validation,-2.8,17.318826365965286,-2.22,1.147,2,1.117,0.263,0.887,5.078,4.793,2.992,1.205,3.367,1.2,3.427,7.58,1.53,3.614,4.121,1.701,3.299,0.751,1.303,1.585,0.787,1.167,1.363,-20.118826365965287,-1.1820128177763944,Good
CC(C)=CC1C(C(=O)OC2CC(=O)C(CC=C)=C2C)C1(C)C,Validation,37.5,45.955996597720784,-4.18,1.126,5,1.121,0.197,1.025,5.278,5.279,3.332,1.28,3.743,1.257,3.732,8.23,1.254,3.971,4.566,1.758,3.897,0.809,1.402,2.585,3.399,3.903,15.24,-8.455996597720784,-0.4968031526176945,Good
OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,Validation,3.5,-5.533443539347523,-0.09,1.149,0,1.0,0.0,0.0,5.127,6.278,3.17,1.152,3.519,1.077,3.466,9.267,1.551,3.833,6.488,1.824,3.267,0.792,1.251,0.0,-10.03,-10.48,109.9,9.033443539347523,0.5307290722599676,Good
CC(=O)OC(C)(C)C1CCC(C)=CC1,Validation,10.0,19.64029091492912,-3.14,1.134,2,1.081,0.244,0.972,5.006,4.724,3.16,1.241,3.473,1.215,3.46,7.561,1.438,3.838,3.848,1.928,3.43,0.748,1.221,1.585,2.754,2.794,7.808,-9.640290914929121,-0.5663823138220531,Good
NC1=NNC=N1,Validation,-0.2,7.788906476170376,0.36,1.199,5,1.266,0.34,0.963,4.796,4.08,3.25,1.255,3.425,1.194,3.353,5.683,1.935,3.572,3.07,1.305,3.434,0.683,0.925,2.585,-0.231,-0.636,0.404,-7.988906476170376,-0.46936087041462793,Good
ClC1=CC=CC=C1NC1=NC(Cl)=NC(Cl)=N1,Validation,75.8,86.47525159698279,-3.74,1.126,12,1.39,0.237,1.034,5.685,5.422,3.469,1.313,3.682,1.316,3.668,6.549,1.466,3.845,4.382,1.885,3.873,1.084,2.058,3.7,3.857,4.392,19.29,-10.67525159698279,-0.6271878881547356,Good
Cl.NC1=CC=CC=C1,Validation,6.2,29.412022769044302,-0.71,1.125,6,1.315,0.327,0.958,5.095,4.133,3.383,1.296,3.54,1.282,3.535,5.424,0.862,3.812,3.329,1.881,3.399,0.809,1.12,2.807,1.506,1.083,1.174,-23.212022769044303,-1.3637429907910774,Good
OC1=C2C(CC3=CC=CC(O)=C3C2=O)=CC=C1,Validation,89.3,88.99446671138043,-3.09,1.1,13,1.392,0.215,1.091,5.818,5.123,3.6,1.316,3.9,1.286,3.89,8.023,0.732,4.017,4.665,2.036,4.317,0.979,1.886,3.807,3.181,2.844,8.088,0.3055332886195714,0.017950563160913317,Good
COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,Validation,2.4,9.729552735718851,-2.66,1.138,9,1.2,0.193,0.979,5.179,5.228,3.231,1.233,3.575,1.185,3.57,8.7,1.305,3.864,6.351,1.925,3.474,0.805,1.3,3.322,-1.634,0.212,0.045,-7.329552735718851,-0.4306227970058851,Good
C1=CC=C(C=C1)\N=N\C1=CC=CC=C1,Validation,88.8,69.82215165020916,-4.36,1.111,13,1.502,0.246,1.039,5.297,4.881,3.564,1.318,3.616,1.306,3.6,6.004,0.903,3.853,3.674,1.905,3.598,0.902,1.343,3.807,3.246,4.199,17.64,18.977848349790833,1.11497855765669,Good
NC(=O)\N=N\C(N)=O,Validation,1.6,8.451740702586815,-1.47,1.201,3,1.203,0.319,0.837,4.867,4.349,2.974,1.18,3.283,1.095,3.189,8.215,2.001,3.325,4.873,1.387,3.075,0.7,1.186,2.0,-2.17,0.194,0.038,-6.851740702586815,-0.4025505855668871,Good
SC1=CC=CC=C1,Validation,76.3,4.018852257175298,-1.97,1.09,6,1.315,0.348,0.948,5.255,4.384,3.445,1.345,3.558,1.402,3.588,5.216,0.876,3.814,3.166,1.872,3.399,0.953,1.357,2.807,2.523,2.19,4.796,72.2811477428247,4.246631565951629,Bad
BrCC(=O)OCC1=CC=CC=C1,Validation,24.2,40.51397364623501,-3.16,1.111,7,1.261,0.269,0.966,8.412,6.961,3.313,1.278,3.554,1.283,3.55,7.572,1.14,3.84,3.798,1.904,3.448,0.924,1.427,3.0,2.533,2.495,6.226,-16.31397364623501,-0.9584717124124792,Good
CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,Validation,29.1,51.94483832328742,-4.66,1.15,16,1.309,0.172,1.018,6.465,5.882,3.388,1.26,3.872,1.203,3.993,9.97,0.9,4.01,7.999,1.981,4.708,0.99,1.744,4.087,2.74,2.927,8.566,-22.84483832328742,-1.3421703247976486,Good
COC1=C(NNC(=O)OC(C)C)C=C(C=C1)C1=CC=CC=C1,Validation,71.7,50.441525189127674,-4.28,1.128,13,1.356,0.185,1.025,5.553,5.281,3.368,1.267,3.769,1.236,3.763,7.705,1.175,3.951,4.527,1.985,4.025,0.812,1.45,3.807,2.911,3.679,13.54,21.25847481087233,1.2489689634846697,Good
C1=CC=C(C=C1)C1=CC=CC=C1,Validation,53.5,50.49148369474156,-4.01,1.094,12,1.433,0.272,1.046,5.413,4.715,3.625,1.336,3.711,1.336,3.711,5.646,0.837,3.94,3.674,1.986,3.842,0.919,1.471,3.7,3.876,3.348,11.21,3.008516305258439,0.176755083553013,Good
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,Validation,1.9,-0.8183024685158444,-7.05,1.14,2,1.019,0.169,0.952,4.58,5.354,3.018,1.205,3.22,1.184,3.173,8.235,1.596,3.734,4.45,1.824,2.844,0.706,0.919,1.585,5.575,8.862,78.54,2.7183024685158443,0.15970456238016154,Good
CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,Validation,6.6,-11.882927530863531,-6.87,1.14,2,1.02,0.172,0.95,4.584,5.324,3.016,1.204,3.221,1.184,3.175,8.232,1.6,3.73,4.45,1.822,2.844,0.707,0.919,1.585,5.371,8.406,70.66,18.48292753086353,1.08590117803647,Good
CCCCC(CC)COP(O)(=O)OCC(CC)CCCC,Validation,97.1,40.15022576435847,-3.75,1.143,1,1.015,0.184,0.933,5.518,5.295,2.974,1.187,3.43,1.181,3.801,7.812,1.738,3.723,4.325,1.822,3.783,0.715,0.956,1.0,4.274,5.273,27.81,56.94977423564153,3.3458891632901873,Bad
CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,Validation,4.3,14.456266315833638,-6.47,1.132,8,1.189,0.167,0.984,5.448,5.397,3.183,1.232,3.704,1.21,3.69,8.252,1.42,3.885,4.447,1.917,3.843,0.756,1.096,3.17,5.426,7.574,57.37,-10.156266315833637,-0.5966966833798217,Good
ClCCOCCCl,Validation,7.0,12.244680692685053,-1.64,1.145,0,1.0,0.335,0.815,4.276,4.535,2.761,1.186,2.833,1.197,2.814,5.644,1.999,3.417,3.163,1.544,1.802,0.807,0.934,0.0,1.587,1.379,1.901,-5.244680692685053,-0.30813327234561455,Good
